process;parent;UID;process_occurrences;fragmented;datetime
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:04:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:04:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:04:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:06:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:06:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:06:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:06:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:08:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:08:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:08:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:08:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:10:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:10:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:10:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:10:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:12:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:12:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:12:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:12:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:14:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:14:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:14:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:14:10 2024
EMT-0(21817);nspr-2(16890);0;1;0;Fri Mar  8 23:14:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:16:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:16:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:16:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:16:10 2024
EMT-0(21817);nspr-2(16890);0;1;0;Fri Mar  8 23:16:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:18:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:18:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:18:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:18:10 2024
EMT-0(21817);nspr-2(16890);0;1;0;Fri Mar  8 23:18:10 2024
ps(29622);bash(29621);0;1;0;Fri Mar  8 23:20:10 2024
kworker/0:1(9410);kthreadd(2);0;3;0;Fri Mar  8 23:20:10 2024
ps(33048);bash(33047);0;1;0;Fri Mar  8 23:20:10 2024
kworker/0:2(40834);kthreadd(2);0;1;0;Fri Mar  8 23:20:10 2024
