cpu;mem;vmrss;vsz;threads;swap;date_time
36,00;12,53;496016;2071308;31;0;16-12-2023-14:12:56
6,00;12,53;496016;2071308;31;0;16-12-2023-14:12:57
5,00;12,53;496016;2071308;31;0;16-12-2023-14:12:58
6,00;12,53;496016;2071308;31;0;16-12-2023-14:12:59
8,00;12,53;496016;2071308;31;0;16-12-2023-14:13:00
8,00;12,53;496016;2071308;31;0;16-12-2023-14:13:01
3,00;12,53;496276;2071308;31;0;16-12-2023-14:13:02
8,91;12,53;496276;2071308;31;0;16-12-2023-14:13:03
6,00;12,53;496276;2071308;31;0;16-12-2023-14:13:04
8,00;12,53;496276;2071308;31;0;16-12-2023-14:13:05
22,00;12,66;501480;2142480;32;0;16-12-2023-14:13:06
5,00;12,66;501480;2142480;32;0;16-12-2023-14:13:07
8,00;12,67;501744;2142480;32;0;16-12-2023-14:13:09
4,00;12,67;501744;2142480;32;0;16-12-2023-14:13:10
8,00;12,67;501744;2142480;32;0;16-12-2023-14:13:11
6,00;12,68;502008;2142480;32;0;16-12-2023-14:13:12
5,94;12,68;502008;2142480;32;0;16-12-2023-14:13:13
7,00;12,68;502272;2142480;32;0;16-12-2023-14:13:14
4,00;12,68;502272;2142480;32;0;16-12-2023-14:13:15
6,00;12,68;502272;2142480;32;0;16-12-2023-14:13:16
7,00;12,69;502536;2142480;32;0;16-12-2023-14:13:17
7,00;12,69;502488;2142480;32;0;16-12-2023-14:13:18
4,00;12,69;502488;2142480;32;0;16-12-2023-14:13:19
5,00;12,69;502488;2142480;32;0;16-12-2023-14:13:20
8,00;12,69;502488;2142480;32;0;16-12-2023-14:13:21
8,00;12,69;502488;2142480;32;0;16-12-2023-14:13:22
5,00;12,69;502488;2142480;32;0;16-12-2023-14:13:23
5,00;12,70;502752;2142480;32;0;16-12-2023-14:13:24
6,00;12,70;502752;2142480;32;0;16-12-2023-14:13:25
13,00;12,62;499856;2139408;31;0;16-12-2023-14:13:26
6,00;12,62;499856;2139408;31;0;16-12-2023-14:13:27
7,00;12,62;499856;2139408;31;0;16-12-2023-14:13:28
6,00;12,62;499856;2139408;31;0;16-12-2023-14:13:29
11,00;12,62;499856;2139408;31;0;16-12-2023-14:13:30
5,00;12,62;499856;2139408;31;0;16-12-2023-14:13:31
9,00;12,62;499856;2139408;31;0;16-12-2023-14:13:32
6,00;12,62;499856;2139408;31;0;16-12-2023-14:13:33
6,00;12,62;499856;2139408;31;0;16-12-2023-14:13:34
5,00;12,62;499856;2139408;31;0;16-12-2023-14:13:35
12,00;12,49;494744;2134288;30;0;16-12-2023-14:13:36
7,00;12,49;494744;2134288;30;0;16-12-2023-14:13:37
9,00;12,48;494224;2133768;30;0;16-12-2023-14:13:38
7,00;12,48;494224;2133768;30;0;16-12-2023-14:13:39
6,00;12,49;494488;2133768;30;0;16-12-2023-14:13:40
7,00;12,49;494488;2133768;30;0;16-12-2023-14:13:41
7,00;12,49;494488;2133768;30;0;16-12-2023-14:13:42
7,00;12,49;494488;2133768;30;0;16-12-2023-14:13:43
5,00;12,49;494488;2133768;30;0;16-12-2023-14:13:44
6,00;12,49;494488;2133768;30;0;16-12-2023-14:13:45
