used;date_time
12490028;16-12-2023-14:12:56
12490036;16-12-2023-14:12:57
12490280;16-12-2023-14:12:58
12490280;16-12-2023-14:12:59
12490280;16-12-2023-14:13:00
12490280;16-12-2023-14:13:01
12490280;16-12-2023-14:13:03
12490280;16-12-2023-14:13:04
12490280;16-12-2023-14:13:05
12490280;16-12-2023-14:13:06
12490352;16-12-2023-14:13:07
12490352;16-12-2023-14:13:08
12490352;16-12-2023-14:13:09
12490352;16-12-2023-14:13:10
12490352;16-12-2023-14:13:11
12490352;16-12-2023-14:13:12
12490352;16-12-2023-14:13:13
12490352;16-12-2023-14:13:14
12490352;16-12-2023-14:13:15
12490352;16-12-2023-14:13:16
12490352;16-12-2023-14:13:17
12490352;16-12-2023-14:13:18
12490352;16-12-2023-14:13:19
12490352;16-12-2023-14:13:20
12490352;16-12-2023-14:13:21
12490352;16-12-2023-14:13:22
12490352;16-12-2023-14:13:23
12490360;16-12-2023-14:13:24
12490360;16-12-2023-14:13:25
12490360;16-12-2023-14:13:26
12490364;16-12-2023-14:13:27
12490364;16-12-2023-14:13:28
12490364;16-12-2023-14:13:29
12490364;16-12-2023-14:13:30
12490364;16-12-2023-14:13:31
12490364;16-12-2023-14:13:33
12490364;16-12-2023-14:13:34
12490364;16-12-2023-14:13:35
12490364;16-12-2023-14:13:36
12490364;16-12-2023-14:13:37
12490368;16-12-2023-14:13:38
12490368;16-12-2023-14:13:39
12490368;16-12-2023-14:13:40
12490368;16-12-2023-14:13:41
12490368;16-12-2023-14:13:42
12490368;16-12-2023-14:13:43
12490368;16-12-2023-14:13:44
12490368;16-12-2023-14:13:45
12490368;16-12-2023-14:13:46
12490368;16-12-2023-14:13:47
12490368;16-12-2023-14:13:48
12490368;16-12-2023-14:13:49
12490368;16-12-2023-14:13:50
12490368;16-12-2023-14:13:51
12490368;16-12-2023-14:13:52
12490368;16-12-2023-14:13:53
12490368;16-12-2023-14:13:54
12490368;16-12-2023-14:13:55
12490368;16-12-2023-14:13:56
12490372;16-12-2023-14:13:57
12490372;16-12-2023-14:13:58
12490372;16-12-2023-14:13:59
12490372;16-12-2023-14:14:00
12490372;16-12-2023-14:14:02
12490372;16-12-2023-14:14:03
12490372;16-12-2023-14:14:04
12490372;16-12-2023-14:14:05
12490372;16-12-2023-14:14:06
12490372;16-12-2023-14:14:07
12490376;16-12-2023-14:14:08
12490376;16-12-2023-14:14:09
12490376;16-12-2023-14:14:10
12490376;16-12-2023-14:14:11
12490376;16-12-2023-14:14:12
12490376;16-12-2023-14:14:13
12490376;16-12-2023-14:14:14
12490376;16-12-2023-14:14:15
12490376;16-12-2023-14:14:16
12490376;16-12-2023-14:14:17
12490380;16-12-2023-14:14:18
12490380;16-12-2023-14:14:19
12490380;16-12-2023-14:14:20
12490380;16-12-2023-14:14:21
12490384;16-12-2023-14:14:22
12490388;16-12-2023-14:14:23
12490388;16-12-2023-14:14:24
12490392;16-12-2023-14:14:25
12490456;16-12-2023-14:14:26
12490468;16-12-2023-14:14:27
12490468;16-12-2023-14:14:28
12490472;16-12-2023-14:14:29
12490472;16-12-2023-14:14:31
12490476;16-12-2023-14:14:32
12490476;16-12-2023-14:14:33
12490476;16-12-2023-14:14:34
12490476;16-12-2023-14:14:35
12490476;16-12-2023-14:14:36
12490476;16-12-2023-14:14:37
12490476;16-12-2023-14:14:38
12490476;16-12-2023-14:14:39
12490476;16-12-2023-14:14:40
12490476;16-12-2023-14:14:41
12490476;16-12-2023-14:14:42
12490476;16-12-2023-14:14:43
12490476;16-12-2023-14:14:44
12490476;16-12-2023-14:14:45
12490476;16-12-2023-14:14:46
12490476;16-12-2023-14:14:47
12490480;16-12-2023-14:14:48
12490480;16-12-2023-14:14:49
12490480;16-12-2023-14:14:50
12490480;16-12-2023-14:14:51
12490480;16-12-2023-14:14:52
12490480;16-12-2023-14:14:53
12490480;16-12-2023-14:14:54
12490480;16-12-2023-14:14:55
12490480;16-12-2023-14:14:56
12490480;16-12-2023-14:14:57
12490484;16-12-2023-14:14:59
12490484;16-12-2023-14:15:00
12490484;16-12-2023-14:15:01
12490484;16-12-2023-14:15:02
12490484;16-12-2023-14:15:03
12490484;16-12-2023-14:15:04
12490484;16-12-2023-14:15:05
12490484;16-12-2023-14:15:06
12490484;16-12-2023-14:15:07
12490484;16-12-2023-14:15:08
12490484;16-12-2023-14:15:09
12490484;16-12-2023-14:15:10
12490484;16-12-2023-14:15:11
12490484;16-12-2023-14:15:12
12490484;16-12-2023-14:15:13
12490484;16-12-2023-14:15:14
12490484;16-12-2023-14:15:15
