used;cached;buffer;swap-free;date_time
1041104;2958140;13920;997872;16-12-2023-14:12:56
1161632;2816900;22488;997872;16-12-2023-14:12:57
1201144;2777092;22496;997872;16-12-2023-14:12:58
1202728;2777236;22496;997872;16-12-2023-14:12:59
1186264;2777236;22496;997872;16-12-2023-14:13:00
1188500;2777228;22504;997872;16-12-2023-14:13:01
1190180;2777324;22504;997872;16-12-2023-14:13:03
1190436;2777324;22504;997872;16-12-2023-14:13:04
1208336;2777560;22504;997872;16-12-2023-14:13:05
1191216;2777560;22504;997872;16-12-2023-14:13:06
1202924;2778496;22568;997872;16-12-2023-14:13:07
1194776;2776020;22568;997872;16-12-2023-14:13:08
1196660;2775980;22568;997872;16-12-2023-14:13:09
1198424;2775980;22568;997872;16-12-2023-14:13:10
1199604;2775988;22568;997872;16-12-2023-14:13:11
1200676;2775924;22576;997872;16-12-2023-14:13:12
1201440;2775924;22576;997872;16-12-2023-14:13:13
1203456;2775924;22576;997872;16-12-2023-14:13:14
1205716;2775924;22576;997872;16-12-2023-14:13:15
1206220;2775924;22576;997872;16-12-2023-14:13:16
1212484;2776028;22584;997872;16-12-2023-14:13:17
1202864;2772916;22584;997872;16-12-2023-14:13:18
1206616;2772912;22584;997872;16-12-2023-14:13:19
1211100;2772912;22584;997872;16-12-2023-14:13:20
1212612;2772912;22584;997872;16-12-2023-14:13:21
1195712;2772900;22592;997872;16-12-2023-14:13:22
1198232;2772900;22592;997872;16-12-2023-14:13:23
1200720;2772912;22592;997872;16-12-2023-14:13:24
1202228;2772912;22592;997872;16-12-2023-14:13:25
1204980;2772912;22592;997872;16-12-2023-14:13:26
1212292;2772916;22648;997872;16-12-2023-14:13:27
1198656;2772544;22648;997872;16-12-2023-14:13:28
1202388;2772544;22648;997872;16-12-2023-14:13:29
1203396;2772544;22648;997872;16-12-2023-14:13:30
1205896;2772544;22648;997872;16-12-2023-14:13:31
1208632;2772544;22656;997872;16-12-2023-14:13:33
1208676;2772500;22656;997872;16-12-2023-14:13:34
1209664;2772500;22656;997872;16-12-2023-14:13:35
1212188;2772500;22656;997872;16-12-2023-14:13:36
1209956;2752436;22656;997872;16-12-2023-14:13:37
1196724;2752472;22696;997872;16-12-2023-14:13:38
1214508;2752432;22696;997872;16-12-2023-14:13:39
1215468;2752432;22696;997872;16-12-2023-14:13:40
1215944;2752432;22696;997872;16-12-2023-14:13:41
1199668;2752424;22704;997872;16-12-2023-14:13:42
1201676;2752432;22704;997872;16-12-2023-14:13:43
1204320;2752552;22704;997872;16-12-2023-14:13:44
1204572;2752552;22704;997872;16-12-2023-14:13:45
1207100;2752552;22704;997872;16-12-2023-14:13:46
1213880;2752544;22712;997872;16-12-2023-14:13:47
1196820;2752552;22712;997872;16-12-2023-14:13:48
1197900;2752548;22712;997872;16-12-2023-14:13:49
1199180;2752528;22712;997872;16-12-2023-14:13:50
1201680;2752528;22712;997872;16-12-2023-14:13:51
1202688;2752520;22720;997872;16-12-2023-14:13:52
1204900;2752528;22720;997872;16-12-2023-14:13:53
1205432;2752500;22720;997872;16-12-2023-14:13:54
1207196;2752500;22720;997872;16-12-2023-14:13:55
1207448;2752500;22720;997872;16-12-2023-14:13:56
1209908;2752504;22776;997872;16-12-2023-14:13:57
1210400;2752504;22776;997872;16-12-2023-14:13:58
1210928;2752480;22776;997872;16-12-2023-14:13:59
