date_time;response_time
16-12-2023-14:13:24;0.001997
16-12-2023-14:13:25;0.002878
16-12-2023-14:13:26;0.002754
16-12-2023-14:13:27;5.718756
16-12-2023-14:13:33;0.001867
16-12-2023-14:13:34;0.002196
16-12-2023-14:13:35;0.002579
16-12-2023-14:13:36;0.002178
16-12-2023-14:13:37;0.002264
16-12-2023-14:13:38;0.003219
16-12-2023-14:13:39;0.002356
16-12-2023-14:13:40;0.001868
16-12-2023-14:13:41;0.003415
16-12-2023-14:13:43;0.002150
16-12-2023-14:13:44;0.002338
16-12-2023-14:13:45;0.001653
16-12-2023-14:13:46;0.002863
16-12-2023-14:13:47;0.002254
16-12-2023-14:13:48;0.001992
16-12-2023-14:13:49;0.001569
16-12-2023-14:13:50;0.002297
16-12-2023-14:13:51;0.004433
16-12-2023-14:13:52;0.004090
16-12-2023-14:13:53;0.001834
16-12-2023-14:13:54;0.003375
16-12-2023-14:13:55;0.001950
16-12-2023-14:13:56;0.001984
16-12-2023-14:13:57;0.002225
16-12-2023-14:13:58;0.004308
16-12-2023-14:13:59;0.001864
16-12-2023-14:14:00;0.002382
16-12-2023-14:14:01;0.001704
16-12-2023-14:14:02;0.003410
16-12-2023-14:14:03;0.001775
16-12-2023-14:14:04;0.002233
16-12-2023-14:14:05;0.001930
16-12-2023-14:14:06;0.001812
16-12-2023-14:14:07;0.002038
16-12-2023-14:14:08;0.004762
16-12-2023-14:14:09;0.001757
16-12-2023-14:14:10;0.001874
16-12-2023-14:14:11;0.002710
16-12-2023-14:14:12;0.001583
16-12-2023-14:14:13;0.002286
16-12-2023-14:14:14;0.002351
16-12-2023-14:14:15;0.002151
16-12-2023-14:14:16;0.002361
16-12-2023-14:14:17;0.002386
16-12-2023-14:14:18;0.004919
16-12-2023-14:14:19;0.002728
16-12-2023-14:14:20;0.007237
16-12-2023-14:14:21;0.002154
16-12-2023-14:14:22;0.002242
16-12-2023-14:14:23;0.001540
16-12-2023-14:14:24;0.002542
16-12-2023-14:14:25;0.002302
16-12-2023-14:14:26;0.003732
16-12-2023-14:14:27;0.002401
16-12-2023-14:14:28;0.001742
16-12-2023-14:14:29;0.002364
16-12-2023-14:14:30;0.002912
16-12-2023-14:14:31;0.002252
16-12-2023-14:14:32;0.001987
16-12-2023-14:14:33;0.001922
16-12-2023-14:14:34;0.001970
16-12-2023-14:14:35;0.001750
16-12-2023-14:14:36;0.002130
16-12-2023-14:14:37;5.947149
16-12-2023-14:14:44;0.002944
16-12-2023-14:14:45;0.002041
16-12-2023-14:14:46;0.002216
16-12-2023-14:14:47;0.002441
16-12-2023-14:14:48;0.002120
16-12-2023-14:14:49;0.003607
16-12-2023-14:14:50;0.006915
16-12-2023-14:14:51;0.002674
16-12-2023-14:14:52;0.002548
16-12-2023-14:14:53;0.002097
16-12-2023-14:14:54;0.002010
16-12-2023-14:14:55;0.001855
16-12-2023-14:14:56;0.002058
16-12-2023-14:14:58;6.018452
16-12-2023-14:15:05;0.002221
16-12-2023-14:15:06;0.002172
16-12-2023-14:15:07;0.001939
16-12-2023-14:15:08;0.002719
16-12-2023-14:15:09;0.004670
16-12-2023-14:15:10;0.001487
16-12-2023-14:15:11;0.003141
16-12-2023-14:15:12;0.001983
16-12-2023-14:15:13;0.002788
16-12-2023-14:15:14;0.002527
16-12-2023-14:15:15;0.001979
16-12-2023-14:15:16;0.002246
16-12-2023-14:15:17;0.001664
16-12-2023-14:15:18;6.051712
16-12-2023-14:15:25;0.002352
16-12-2023-14:15:26;0.003473
16-12-2023-14:15:27;0.001736
16-12-2023-14:15:28;0.002516
16-12-2023-14:15:29;0.001532
16-12-2023-14:15:30;0.003342
16-12-2023-14:15:31;0.003143
16-12-2023-14:15:32;0.002219
16-12-2023-14:15:33;0.002036
16-12-2023-14:15:34;0.001688
16-12-2023-14:15:35;0.001519
16-12-2023-14:15:36;0.003578
16-12-2023-14:15:37;0.002450
16-12-2023-14:15:38;6.008437
16-12-2023-14:15:45;0.005334
16-12-2023-14:15:46;0.002450
16-12-2023-14:15:47;0.001738
16-12-2023-14:15:48;6.063842
16-12-2023-14:15:55;0.001723
16-12-2023-14:15:56;0.002597
16-12-2023-14:15:57;0.001878
16-12-2023-14:15:58;0.001647
16-12-2023-14:15:59;0.001479
16-12-2023-14:16:00;0.001990
16-12-2023-14:16:01;0.002446
16-12-2023-14:16:02;0.001998
16-12-2023-14:16:03;0.004254
16-12-2023-14:16:04;0.002392
16-12-2023-14:16:05;0.002343
16-12-2023-14:16:06;0.001786
16-12-2023-14:16:07;0.001785
16-12-2023-14:16:08;0.002052
16-12-2023-14:16:09;0.004585
16-12-2023-14:16:10;0.002207
16-12-2023-14:16:11;0.002214
16-12-2023-14:16:12;0.002261
16-12-2023-14:16:13;0.003221
16-12-2023-14:16:14;0.002734
16-12-2023-14:16:15;0.002525
16-12-2023-14:16:17;0.001860
16-12-2023-14:16:18;0.002711
16-12-2023-14:16:19;0.002289
16-12-2023-14:16:20;0.001550
16-12-2023-14:16:21;0.001901
16-12-2023-14:16:22;0.002212
16-12-2023-14:16:23;0.002521
16-12-2023-14:16:24;0.002414
16-12-2023-14:16:25;0.006225
16-12-2023-14:16:26;0.002131
16-12-2023-14:16:27;0.001393
16-12-2023-14:16:28;0.001819
16-12-2023-14:16:29;0.001681
16-12-2023-14:16:30;0.002742
16-12-2023-14:16:31;0.001921
16-12-2023-14:16:32;0.001596
16-12-2023-14:16:33;0.001876
16-12-2023-14:16:34;0.002965
16-12-2023-14:16:35;0.001942
16-12-2023-14:16:36;0.002149
16-12-2023-14:16:37;0.002007
16-12-2023-14:16:38;0.002001
16-12-2023-14:16:39;0.001970
16-12-2023-14:16:40;0.001867
16-12-2023-14:16:41;0.002940
16-12-2023-14:16:42;0.001903
16-12-2023-14:16:43;0.001835
16-12-2023-14:16:44;0.003854
16-12-2023-14:16:45;0.003373
16-12-2023-14:16:46;0.002207
16-12-2023-14:16:47;0.002979
16-12-2023-14:16:48;0.004301
16-12-2023-14:16:49;0.002372
16-12-2023-14:16:50;0.001394
16-12-2023-14:16:51;0.002414
16-12-2023-14:16:52;0.001757
16-12-2023-14:16:53;0.001698
16-12-2023-14:16:54;0.001914
16-12-2023-14:16:55;0.004666
16-12-2023-14:16:56;0.002345
16-12-2023-14:16:57;0.002498
16-12-2023-14:16:58;0.001879
16-12-2023-14:16:59;0.001856
16-12-2023-14:17:00;0.001902
16-12-2023-14:17:01;0.001792
16-12-2023-14:17:02;0.002558
16-12-2023-14:17:03;0.002489
16-12-2023-14:17:04;0.005174
16-12-2023-14:17:05;0.002774
16-12-2023-14:17:06;0.001805
16-12-2023-14:17:07;0.002704
16-12-2023-14:17:08;0.002312
16-12-2023-14:17:09;0.002642
16-12-2023-14:17:10;0.006520
16-12-2023-14:17:11;0.001834
16-12-2023-14:17:12;0.001911
16-12-2023-14:17:13;0.002393
16-12-2023-14:17:14;0.001542
16-12-2023-14:17:15;0.001772
16-12-2023-14:17:17;0.002188
16-12-2023-14:17:18;0.002495
16-12-2023-14:17:19;0.002002
16-12-2023-14:17:20;0.001959
16-12-2023-14:17:21;0.002452
16-12-2023-14:17:22;0.001773
16-12-2023-14:17:23;0.001516
16-12-2023-14:17:24;0.002379
16-12-2023-14:17:25;0.002245
16-12-2023-14:17:26;0.002175
16-12-2023-14:17:27;0.014185
16-12-2023-14:17:28;0.003209
16-12-2023-14:17:29;0.005213
16-12-2023-14:17:30;0.001931
16-12-2023-14:17:31;0.002789
16-12-2023-14:17:32;0.001652
16-12-2023-14:17:33;0.001959
16-12-2023-14:17:34;0.002382
16-12-2023-14:17:35;0.001340
16-12-2023-14:17:36;0.002026
16-12-2023-14:17:37;0.002546
16-12-2023-14:17:38;0.002385
16-12-2023-14:17:39;0.003426
16-12-2023-14:17:40;0.004065
16-12-2023-14:17:41;0.001604
16-12-2023-14:17:42;0.002041
16-12-2023-14:17:43;0.002265
16-12-2023-14:17:44;0.001669
16-12-2023-14:17:45;0.002381
16-12-2023-14:17:46;0.002328
16-12-2023-14:17:47;0.002346
16-12-2023-14:17:48;0.002210
16-12-2023-14:17:49;0.001902
16-12-2023-14:17:50;0.002037
16-12-2023-14:17:51;0.003056
16-12-2023-14:17:52;0.001647
16-12-2023-14:17:53;0.001820
16-12-2023-14:17:54;0.002617
16-12-2023-14:17:55;0.002390
16-12-2023-14:17:56;0.001333
16-12-2023-14:17:57;0.002021
16-12-2023-14:17:58;0.002489
16-12-2023-14:17:59;0.003492
16-12-2023-14:18:00;0.005930
16-12-2023-14:18:01;0.002452
16-12-2023-14:18:02;0.004202
16-12-2023-14:18:03;0.003464
16-12-2023-14:18:04;0.002045
16-12-2023-14:18:05;0.001484
16-12-2023-14:18:06;0.001507
16-12-2023-14:18:07;0.001720
16-12-2023-14:18:08;0.002062
16-12-2023-14:18:09;0.001380
16-12-2023-14:18:10;0.002130
16-12-2023-14:18:11;0.002022
16-12-2023-14:18:12;0.001703
16-12-2023-14:18:13;0.001963
16-12-2023-14:18:14;0.001628
16-12-2023-14:18:15;0.001622
16-12-2023-14:18:16;0.002609
16-12-2023-14:18:17;0.002030
16-12-2023-14:18:18;0.002327
16-12-2023-14:18:20;0.001786
16-12-2023-14:18:21;0.002200
16-12-2023-14:18:22;0.002842
16-12-2023-14:18:23;0.001527
16-12-2023-14:18:24;0.002045
16-12-2023-14:18:25;0.002659
16-12-2023-14:18:26;0.001576
16-12-2023-14:18:27;0.002920
16-12-2023-14:18:28;0.001738
16-12-2023-14:18:29;0.002754
16-12-2023-14:18:30;0.001587
16-12-2023-14:18:31;0.001748
16-12-2023-14:18:32;0.003249
16-12-2023-14:18:33;0.001952
16-12-2023-14:18:34;0.001957
16-12-2023-14:18:35;0.001958
16-12-2023-14:18:36;0.001740
16-12-2023-14:18:37;0.001903
16-12-2023-14:18:38;0.001628
16-12-2023-14:18:39;0.002194
16-12-2023-14:18:40;0.002489
16-12-2023-14:18:41;0.002047
16-12-2023-14:18:42;0.002410
16-12-2023-14:18:43;0.002096
16-12-2023-14:18:44;0.001811
16-12-2023-14:18:45;0.001854
16-12-2023-14:18:46;0.001845
16-12-2023-14:18:47;0.002204
16-12-2023-14:18:48;0.001763
16-12-2023-14:18:49;0.002343
16-12-2023-14:18:50;0.001902
16-12-2023-14:18:51;0.003279
16-12-2023-14:18:52;0.002077
16-12-2023-14:18:53;0.001774
16-12-2023-14:18:54;0.001437
16-12-2023-14:18:55;0.002430
16-12-2023-14:18:56;0.002434
16-12-2023-14:18:57;0.002635
16-12-2023-14:18:58;0.001591
16-12-2023-14:18:59;0.002043
16-12-2023-14:19:00;0.002365
16-12-2023-14:19:01;0.001739
16-12-2023-14:19:02;0.001626
16-12-2023-14:19:03;0.001864
16-12-2023-14:19:04;0.001864
16-12-2023-14:19:05;0.001775
16-12-2023-14:19:06;0.003420
16-12-2023-14:19:07;0.002237
16-12-2023-14:19:08;0.001830
16-12-2023-14:19:09;0.002209
16-12-2023-14:19:10;0.002061
16-12-2023-14:19:11;0.001660
16-12-2023-14:19:12;0.003090
16-12-2023-14:19:13;0.002554
16-12-2023-14:19:14;0.002015
16-12-2023-14:19:15;0.003813
16-12-2023-14:19:16;0.001715
16-12-2023-14:19:17;0.002297
16-12-2023-14:19:18;0.002648
16-12-2023-14:19:19;0.002100
16-12-2023-14:19:20;0.002413
16-12-2023-14:19:21;0.002613
16-12-2023-14:19:22;0.004694
16-12-2023-14:19:23;0.002649
16-12-2023-14:19:25;0.001424
16-12-2023-14:19:26;0.002080
16-12-2023-14:19:27;0.001820
16-12-2023-14:19:28;0.002206
16-12-2023-14:19:29;0.001820
16-12-2023-14:19:30;0.001667
16-12-2023-14:19:31;0.002246
16-12-2023-14:19:32;0.001731
16-12-2023-14:19:33;0.001788
16-12-2023-14:19:34;0.001509
16-12-2023-14:19:35;0.001315
16-12-2023-14:19:36;0.002074
16-12-2023-14:19:37;0.002159
16-12-2023-14:19:38;0.001749
16-12-2023-14:19:39;0.004229
16-12-2023-14:19:40;0.001770
16-12-2023-14:19:41;0.002939
16-12-2023-14:19:42;0.002576
16-12-2023-14:19:43;0.001812
16-12-2023-14:19:44;0.002791
16-12-2023-14:19:45;0.001654
16-12-2023-14:19:46;0.002833
16-12-2023-14:19:47;0.002340
16-12-2023-14:19:48;0.001569
16-12-2023-14:19:49;0.001710
16-12-2023-14:19:50;0.002108
16-12-2023-14:19:51;0.002544
16-12-2023-14:19:52;0.002048
16-12-2023-14:19:53;0.002259
16-12-2023-14:19:54;0.001758
16-12-2023-14:19:55;0.001864
16-12-2023-14:19:56;0.001849
16-12-2023-14:19:57;0.001651
16-12-2023-14:19:58;0.002311
16-12-2023-14:19:59;0.002046
16-12-2023-14:20:00;0.002201
16-12-2023-14:20:01;0.001673
16-12-2023-14:20:02;0.001699
16-12-2023-14:20:03;0.001902
16-12-2023-14:20:04;0.001520
16-12-2023-14:20:05;0.002294
16-12-2023-14:20:06;0.002237
16-12-2023-14:20:07;0.002408
16-12-2023-14:20:08;0.001968
16-12-2023-14:20:09;0.002086
16-12-2023-14:20:10;0.002372
16-12-2023-14:20:11;0.003762
16-12-2023-14:20:12;0.001400
16-12-2023-14:20:13;0.002555
16-12-2023-14:20:14;0.002452
16-12-2023-14:20:15;0.002173
16-12-2023-14:20:16;0.002608
16-12-2023-14:20:17;0.001604
16-12-2023-14:20:18;0.002213
16-12-2023-14:20:19;0.001828
16-12-2023-14:20:20;0.001770
16-12-2023-14:20:21;0.002155
16-12-2023-14:20:22;0.001975
16-12-2023-14:20:23;0.001779
16-12-2023-14:20:24;0.002568
16-12-2023-14:20:25;0.001729
16-12-2023-14:20:26;0.002569
16-12-2023-14:20:27;0.001862
16-12-2023-14:20:28;0.003492
16-12-2023-14:20:29;0.002122
16-12-2023-14:20:30;0.001860
16-12-2023-14:20:32;0.002850
16-12-2023-14:20:33;0.002657
16-12-2023-14:20:34;0.002534
16-12-2023-14:20:35;0.001954
16-12-2023-14:20:36;0.001791
16-12-2023-14:20:37;0.003332
16-12-2023-14:20:38;0.002734
16-12-2023-14:20:39;0.001878
16-12-2023-14:20:40;0.001819
16-12-2023-14:20:41;0.001727
16-12-2023-14:20:42;0.002050
16-12-2023-14:20:43;0.001807
16-12-2023-14:20:44;0.003665
16-12-2023-14:20:45;0.003704
16-12-2023-14:20:46;0.001967
16-12-2023-14:20:47;0.006474
16-12-2023-14:20:48;0.002316
16-12-2023-14:20:49;0.001794
16-12-2023-14:20:50;0.001977
