offline_count;seconds;date_time
1;6;16-12-2023-14:22:28
2;7;16-12-2023-14:23:09
3;6;16-12-2023-14:35:56
4;6;16-12-2023-14:42:40
5;6;16-12-2023-14:53:37
6;6;16-12-2023-14:54:27
7;6;16-12-2023-14:54:48
8;6;16-12-2023-14:55:18
9;6;16-12-2023-14:55:38
10;6;16-12-2023-14:56:08
11;6;16-12-2023-14:56:29
12;6;16-12-2023-14:56:59
13;6;16-12-2023-14:57:09
14;6;16-12-2023-14:57:29
15;6;16-12-2023-14:57:49
16;6;16-12-2023-14:58:10
17;6;16-12-2023-14:58:40
18;6;16-12-2023-14:59:00
19;6;16-12-2023-14:59:10
20;6;16-12-2023-14:59:30
21;6;16-12-2023-14:59:51
22;6;16-12-2023-15:00:21
23;6;16-12-2023-15:00:41
24;6;16-12-2023-15:01:01
25;6;16-12-2023-15:01:22
26;6;16-12-2023-15:02:02
27;6;16-12-2023-15:09:16
28;6;16-12-2023-15:09:26
29;33;16-12-2023-15:13:30
30;6;16-12-2023-15:20:43
31;6;16-12-2023-15:21:03
32;6;16-12-2023-15:28:48
33;6;16-12-2023-15:29:08
34;6;16-12-2023-15:29:28
35;6;16-12-2023-15:29:59
36;6;16-12-2023-15:30:19
37;6;16-12-2023-15:30:59
38;6;16-12-2023-15:36:53
39;6;16-12-2023-15:37:33
40;6;16-12-2023-15:37:43
41;6;16-12-2023-15:43:27
42;6;16-12-2023-15:43:47
43;6;16-12-2023-15:44:17
44;6;16-12-2023-15:44:37
45;6;16-12-2023-15:44:58
46;6;16-12-2023-15:45:28
47;6;16-12-2023-15:46:08
48;6;16-12-2023-15:46:59
49;6;16-12-2023-15:47:19
50;6;16-12-2023-15:47:49
51;6;16-12-2023-15:48:20
52;6;16-12-2023-15:59:26
53;6;16-12-2023-15:59:47
54;6;16-12-2023-16:00:07
55;6;16-12-2023-16:00:37
56;6;16-12-2023-16:00:57
57;6;16-12-2023-16:06:41
58;45;16-12-2023-16:13:45
59;6;16-12-2023-16:14:25
60;6;16-12-2023-16:14:46
61;6;16-12-2023-16:15:16
62;6;16-12-2023-16:15:36
63;6;16-12-2023-16:16:06
64;6;16-12-2023-16:16:37
65;6;16-12-2023-16:16:57
66;6;16-12-2023-16:17:17
67;6;16-12-2023-16:17:37
68;6;16-12-2023-16:20:49
69;6;16-12-2023-16:21:09
70;6;16-12-2023-16:21:19
71;6;16-12-2023-16:21:40
